trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,energy,land,material,water,CO2_total,Water_total,Energy_total,Land_total,impact_intensity
17317,2019,RU,RU,REALE,PRINT,324.07,34398408407253.703,1.0,1.0,34398408407253.703,0.0,0.0,0.0,0.0,34398408407253.703,0.0,0.0,0.0,106144994622.31525
17329,2019,RU,RU,REALE,RENTI,322.9,34274700303645.863,1.0,1.0,34274700303645.863,0.0,0.0,0.0,0.0,34274700303645.863,0.0,0.0,0.0,106146485920.24115
5403,2019,RU,RU,ELEC2,BEVER,112.25,34151034781940.074,5.0,3.0,34148892963465.12,2139766860.808,0.0,0.0,2051614.147,34148892963465.12,2051614.147,2139766860.808,0.0,304240844382.5396
5460,2019,RU,RU,ELEC2,FURNI,112.23,34142949960361.21,5.0,3.0,34140808648934.44,2139260298.315,0.0,0.0,2051128.453,34140808648934.44,2051128.453,2139260298.315,0.0,304223023793.6489
3653,2019,RU,RU,CONST,BASIC,638.4,33899525280033.72,1.0,1.0,33899525280033.72,0.0,0.0,0.0,0.0,33899525280033.72,0.0,0.0,0.0,53100760150.42876
17303,2019,RU,RU,REALE,PAPER,317.11,33659469429039.688,1.0,1.0,33659469429039.688,0.0,0.0,0.0,0.0,33659469429039.688,0.0,0.0,0.0,106144459112.10522
3670,2019,RU,RU,CONST,CHEMI,633.65,33647311869279.57,1.0,1.0,33647311869279.57,0.0,0.0,0.0,0.0,33647311869279.57,0.0,0.0,0.0,53100784138.372246
5531,2019,RU,RU,ELEC2,RECRE,109.41,33284783085259.24,5.0,3.0,33282695594680.93,2085491003.999,0.0,0.0,1999574.311,33282695594680.93,1999574.311,2085491003.999,0.0,304220666166.33984
17357,2019,RU,RU,REALE,WHEAT,312.06,33123739962701.848,1.0,1.0,33123739962701.848,0.0,0.0,0.0,0.0,33123739962701.848,0.0,0.0,0.0,106145420632.89703
1180,2019,RU,RU,BASIC,TRANS,185.64,33064879599697.086,2.0,2.0,33064309509024.62,570090672.462,0.0,0.0,0.0,33064309509024.62,0.0,570090672.462,0.0,178112904544.80225
1053,2019,RU,RU,BASIC,COPPE,178.76,31840270621944.105,2.0,2.0,31839721645461.81,548976482.297,0.0,0.0,0.0,31839721645461.81,0.0,548976482.297,0.0,178117423483.68823
17314,2019,RU,RU,REALE,POULT,296.27,31447507031420.203,1.0,1.0,31447507031420.203,0.0,0.0,0.0,0.0,31447507031420.203,0.0,0.0,0.0,106144756578.1895
5408,2019,RU,RU,ELEC2,BITUM,99.93,30402739944836.56,5.0,3.0,30400833204659.61,1904913740.597,0.0,0.0,1826436.352,30400833204659.61,1826436.352,1904913740.597,0.0,304240367705.7595
17281,2019,RU,RU,REALE,MEMBE,283.02,30040942403376.188,1.0,1.0,30040942403376.188,0.0,0.0,0.0,0.0,30040942403376.188,0.0,0.0,0.0,106144238581.64154
17252,2019,RU,RU,REALE,GASDI,278.3,29539992747709.715,1.0,1.0,29539992747709.715,0.0,0.0,0.0,0.0,29539992747709.715,0.0,0.0,0.0,106144422377.68492
17294,2019,RU,RU,REALE,OFFIC,267.11,28353038070636.14,1.0,1.0,28353038070636.14,0.0,0.0,0.0,0.0,28353038070636.14,0.0,0.0,0.0,106147422674.68886
3809,2019,RU,RU,CONST,TRAN2,521.67,27701113004521.508,1.0,1.0,27701113004521.508,0.0,0.0,0.0,0.0,27701113004521.508,0.0,0.0,0.0,53100835786.07455
17279,2019,RU,RU,REALE,MEATP,256.56,27232537468747.16,1.0,1.0,27232537468747.16,0.0,0.0,0.0,0.0,27232537468747.16,0.0,0.0,0.0,106144907502.13268
1160,2019,RU,RU,BASIC,RESEA,152.69,27197151537164.324,2.0,2.0,27196682615377.93,468921786.396,0.0,0.0,0.0,27196682615377.93,0.0,468921786.396,0.0,178120057221.58835
22315,2019,RU,RU,WOODW,REALE,584.57,26895186000358.023,1.0,1.0,26895186000358.023,0.0,0.0,0.0,0.0,26895186000358.023,0.0,0.0,0.0,46008495133.78726
20555,2019,RU,RU,TRAN2,DIST1,399.84,26718022659503.42,1.0,1.0,26718022659503.42,0.0,0.0,0.0,0.0,26718022659503.42,0.0,0.0,0.0,66821785362.90372
3683,2019,RU,RU,CONST,DIST1,500.42,26572716263897.094,1.0,1.0,26572716263897.094,0.0,0.0,0.0,0.0,26572716263897.094,0.0,0.0,0.0,53100827832.414955
