trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
253,2019,WM,WM,AIRTR,POSTT,1116.0,102870942296283.12,1.0,1.0,102870942296283.12,0.0,0.0,0.0,0.0,0.0,102870942296283.12,0.0,0.0,0.0,0.0,92178263706.3469
4501,2019,WM,WM,ELEC2,RAILW,232.4,102403826684158.22,5.0,3.0,102397970526066.78,0.0,5838408335.343,0.0,0.0,17749756.089,102397970526066.78,17749756.089,0.0,5838408335.343,0.0,440636087281.23157
5060,2019,WM,WM,ELEC6,PUBLI,351.14,100511543372510.14,4.0,2.0,100507454386324.92,0.0,4088986185.221,0.0,0.0,0.0,100507454386324.92,0.0,0.0,4088986185.221,0.0,286243502228.4848
11319,2019,WM,WM,NATUR,NATU1,1334.36,95207312567333.81,2.0,2.0,95206592247552.2,0.0,0.0,0.0,720319781.605,0.0,95206592247552.2,0.0,0.0,0.0,0.0,71350544506.23056
4977,2019,WM,WM,ELEC6,EDUCA,324.62,92921638063038.25,4.0,2.0,92917857847536.64,0.0,3780215501.613,0.0,0.0,0.0,92917857847536.64,0.0,0.0,3780215501.613,0.0,286247421794.83167
11349,2019,WM,WM,NATUR,PUBLI,1246.11,88910587873819.86,2.0,2.0,88909915193817.53,0.0,0.0,0.0,672680002.33,0.0,88909915193817.53,0.0,0.0,0.0,0.0,71350513095.81006
163,2019,WM,WM,AIRTR,CONST,945.22,87128672314592.39,1.0,1.0,87128672314592.39,0.0,0.0,0.0,0.0,0.0,87128672314592.39,0.0,0.0,0.0,0.0,92178193769.27318
5087,2019,WM,WM,ELEC6,TRAN1,303.0,86733046416508.08,4.0,2.0,86729517963788.12,0.0,3528452719.951,0.0,0.0,0.0,86729517963788.12,0.0,0.0,3528452719.951,0.0,286247677942.2709
295,2019,WM,WM,AIRTR,WHOLE,939.27,86580544718661.98,1.0,1.0,86580544718661.98,0.0,0.0,0.0,0.0,0.0,86580544718661.98,0.0,0.0,0.0,0.0,92178547934.73866
4483,2019,WM,WM,ELEC2,PAPER,195.71,86236538955386.62,5.0,3.0,86231607354471.58,0.0,4916653450.863,0.0,0.0,14947464.192,86231607354471.58,14947464.192,0.0,4916653450.863,0.0,440634300523.15485
4969,2019,WM,WM,ELEC6,CONST,300.38,85982799016832.81,4.0,2.0,85979301085495.28,0.0,3497931337.532,0.0,0.0,0.0,85979301085495.28,0.0,0.0,3497931337.532,0.0,286246750838.38074
4512,2019,WM,WM,ELEC2,SALEM,194.05,85506249059234.94,5.0,3.0,85501359221340.11,0.0,4875017012.509,0.0,0.0,14820882.325,85501359221340.11,14820882.325,0.0,4875017012.509,0.0,440640294043.98315
4472,2019,WM,WM,ELEC2,NONME,191.06,84189378024550.56,5.0,3.0,84184563494436.84,0.0,4799937485.948,0.0,0.0,14592627.772,84184563494436.84,14592627.772,0.0,4799937485.948,0.0,440643661805.4567
4944,2019,WM,WM,ELEC6,ALUM1,293.62,84047538962877.31,4.0,2.0,84044119761319.06,0.0,3419201558.246,0.0,0.0,0.0,84044119761319.06,0.0,0.0,3419201558.246,0.0,286245960639.1844
4389,2019,WM,WM,ELEC2,BUSIN,174.3,76805064074242.48,5.0,3.0,76800671830202.34,0.0,4378931342.777,0.0,0.0,13312697.366,76800671830202.34,13312697.366,0.0,4378931342.777,0.0,440648675124.7417
10686,2019,WM,WM,MEDIC,EDUCA,443.52,75894646391079.7,3.0,2.0,75891965205346.88,0.0,2681185732.825,0.0,0.0,0.0,75891965205346.88,0.0,0.0,2681185732.825,0.0,171118881653.76917
5070,2019,WM,WM,ELEC6,RESEA,262.36,75100118615364.0,4.0,2.0,75097063410586.3,0.0,3055204777.71,0.0,0.0,0.0,75097063410586.3,0.0,0.0,3055204777.71,0.0,286248355753.02637
10682,2019,WM,WM,MEDIC,CRUDE,437.48,74860410956240.31,3.0,2.0,74857766307699.83,0.0,2644648540.491,0.0,0.0,0.0,74857766307699.83,0.0,0.0,2644648540.491,0.0,171117333263.78418
4422,2019,WM,WM,ELEC2,FABRI,165.39,72876507062126.56,5.0,3.0,72872339480110.1,0.0,4154950259.764,0.0,0.0,12631756.711,72872339480110.1,12631756.711,0.0,4154950259.764,0.0,440634301119.3335
269,2019,WM,WM,AIRTR,RESEA,774.86,71425220769290.44,1.0,1.0,71425220769290.44,0.0,0.0,0.0,0.0,0.0,71425220769290.44,0.0,0.0,0.0,0.0,92178226736.81754
