industry_id,name,category
HEALT,Health and social work services (85),Health & Social
FOODW,Food waste for treatment: incineration,Food Manufacturing
PAPE1,Paper waste for treatment: incineration,Administrative Services
PLAS1,Plastic waste for treatment: incineration,Chemicals
INTER,Intert/metal waste for treatment: incineration,Metals
TEXT1,Textiles waste for treatment: incineration,Textiles
WOOD1,Wood waste for treatment: incineration,Forestry
OILHA,Oil/hazardous waste for treatment: incineration,Administrative Services
FOOD1,Food waste for treatment: biogasification and land application,Mining
PAPE2,Paper waste for treatment: biogasification and land application,Mining
SEWAG,Sewage sludge for treatment: biogasification and land application,Mining
FOOD2,Food waste for treatment: composting and land application,Food Manufacturing
PAPE3,Paper and wood waste for treatment: composting and land application,Forestry
FOOD3,Food waste for treatment: waste water treatment,Food Manufacturing
WASTE,Other waste for treatment: waste water treatment,Utilities
FOOD4,Food waste for treatment: landfill,Food Manufacturing
PAPE4,Paper for treatment: landfill,Transportation Services
PLAS2,Plastic waste for treatment: landfill,Chemicals
INERT,Inert/metal/hazardous waste for treatment: landfill,Metals
TEXT2,Textiles waste for treatment: landfill,Textiles
WOOD2,Wood waste for treatment: landfill,Forestry
MEMBE,Membership organisation services n.e.c. (91),Transportation Equipment
RECRE,"Recreational, cultural and sporting services (92)",Arts & Recreation
93197,Other services (93),Other Services
PRIVA,Private households with employed persons (95),Other Services
EXTRA,Extra-territorial organizations and bodies,Other Services
