trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,material,water,CO2_total,impact_intensity
4605,2022,DE,DE,ELEC1,OILHA,4.47,591559099573.088,1.0,1.0,591559099573.088,0.0,0.0,591559099573.088,132339843304.94139
4607,2022,DE,DE,ELEC1,PAPE1,4.21,556920749985.836,1.0,1.0,556920749985.836,0.0,0.0,556920749985.836,132285213773.35774
4616,2022,DE,DE,ELEC1,PLAS1,3.96,523336503840.116,1.0,1.0,523336503840.116,0.0,0.0,523336503840.116,132155682787.9081
4584,2022,DE,DE,ELEC1,LIQUE,3.57,471724879822.658,1.0,1.0,471724879822.658,0.0,0.0,471724879822.658,132135820678.61569
4590,2022,DE,DE,ELEC1,MEATA,3.42,452670913852.339,1.0,1.0,452670913852.339,0.0,0.0,452670913852.339,132359916331.09328
4516,2022,DE,DE,ELEC1,AUXIL,3.38,447364988906.532,1.0,1.0,447364988906.532,0.0,0.0,447364988906.532,132356505593.64851
4548,2022,DE,DE,ELEC1,ELEC4,3.36,444098961926.07,1.0,1.0,444098961926.07,0.0,0.0,444098961926.07,132172310097.04465
4606,2022,DE,DE,ELEC1,OILSE,3.27,431837595755.098,1.0,1.0,431837595755.098,0.0,0.0,431837595755.098,132060426836.42142
4522,2022,DE,DE,ELEC1,BIOGA,3.24,427874536782.512,1.0,1.0,427874536782.512,0.0,0.0,427874536782.512,132060042216.82469
4563,2022,DE,DE,ELEC1,FOODW,3.12,411984742823.826,1.0,1.0,411984742823.826,0.0,0.0,411984742823.826,132046391930.71346
4553,2022,DE,DE,ELEC1,ELECT,3.1,409272517210.543,1.0,1.0,409272517210.543,0.0,0.0,409272517210.543,132023392648.56227
4636,2022,DE,DE,ELEC1,RETAI,3.06,404309571391.271,1.0,1.0,404309571391.271,0.0,0.0,404309571391.271,132127310912.18007
4631,2022,DE,DE,ELEC1,REFI1,2.92,385836149559.944,1.0,1.0,385836149559.944,0.0,0.0,385836149559.944,132135667657.51506
4580,2022,DE,DE,ELEC1,LEAD1,2.92,385629755076.443,1.0,1.0,385629755076.443,0.0,0.0,385629755076.443,132064984615.2202
4640,2022,DE,DE,ELEC1,SEACO,2.87,378906944213.501,1.0,1.0,378906944213.501,0.0,0.0,378906944213.501,132023325509.93065
4642,2022,DE,DE,ELEC1,SEWAG,2.72,359142251195.258,1.0,1.0,359142251195.258,0.0,0.0,359142251195.258,132037592351.19778
4564,2022,DE,DE,ELEC1,FORES,2.57,340043719868.359,1.0,1.0,340043719868.359,0.0,0.0,340043719868.359,132312731466.28757
4662,2022,DE,DE,ELEC1,WOOD1,2.56,338609181782.423,1.0,1.0,338609181782.423,0.0,0.0,338609181782.423,132269211633.75897
4657,2022,DE,DE,ELEC1,WASTE,2.56,337895972601.897,1.0,1.0,337895972601.897,0.0,0.0,337895972601.897,131990614297.616
4659,2022,DE,DE,ELEC1,WHEAT,2.54,335594191227.692,1.0,1.0,335594191227.692,0.0,0.0,335594191227.692,132123697333.73701
4513,2022,DE,DE,ELEC1,AIRTR,2.28,301357371373.262,1.0,1.0,301357371373.262,0.0,0.0,301357371373.262,132174285690.02722
4614,2022,DE,DE,ELEC1,PFERT,2.06,272287364641.886,1.0,1.0,272287364641.886,0.0,0.0,272287364641.886,132178332350.43008
4655,2022,DE,DE,ELEC1,VEGE1,1.78,234685943244.963,1.0,1.0,234685943244.963,0.0,0.0,234685943244.963,131846035530.8781
4561,2022,DE,DE,ELEC1,FOOD4,1.71,225779607808.352,1.0,1.0,225779607808.352,0.0,0.0,225779607808.352,132034858367.4573
4586,2022,DE,DE,ELEC1,LUBRI,1.52,201603074862.883,1.0,1.0,201603074862.883,0.0,0.0,201603074862.883,132633601883.47565
4560,2022,DE,DE,ELEC1,FOOD3,1.47,194966474142.52,1.0,1.0,194966474142.52,0.0,0.0,194966474142.52,132630254518.72108
4557,2022,DE,DE,ELEC1,FISHF,1.44,190934515274.873,1.0,1.0,190934515274.873,0.0,0.0,190934515274.873,132593413385.32846
4648,2022,DE,DE,ELEC1,TEXT2,1.41,187028980147.907,1.0,1.0,187028980147.907,0.0,0.0,187028980147.907,132644666771.56526
4641,2022,DE,DE,ELEC1,SECO9,1.3,172393662004.629,1.0,1.0,172393662004.629,0.0,0.0,172393662004.629,132610509234.32999
4530,2022,DE,DE,ELEC1,CEREA,1.26,166439986539.34,1.0,1.0,166439986539.34,0.0,0.0,166439986539.34,132095227412.1746
4660,2022,DE,DE,ELEC1,WHITE,1.2,159173357993.725,1.0,1.0,159173357993.725,0.0,0.0,159173357993.725,132644464994.77084
4621,2022,DE,DE,ELEC1,PREC1,1.16,152898666145.056,1.0,1.0,152898666145.056,0.0,0.0,152898666145.056,131809194952.63449
4644,2022,DE,DE,ELEC1,SUGA1,1.13,149620641141.312,1.0,1.0,149620641141.312,0.0,0.0,149620641141.312,132407647027.70976
4591,2022,DE,DE,ELEC1,MEATC,1.08,142785488458.767,1.0,1.0,142785488458.767,0.0,0.0,142785488458.767,132208785609.96944
4572,2022,DE,DE,ELEC1,INERT,1.04,137659264294.723,1.0,1.0,137659264294.723,0.0,0.0,137659264294.723,132364677206.46442
4523,2022,DE,DE,ELEC1,BITU1,1.02,134948899267.22,1.0,1.0,134948899267.22,0.0,0.0,134948899267.22,132302842418.84314
4534,2022,DE,DE,ELEC1,COKEO,0.96,127295454165.863,1.0,1.0,127295454165.863,0.0,0.0,127295454165.863,132599431422.77397
4588,2022,DE,DE,ELEC1,MEAT1,0.81,107248907624.67,1.0,1.0,107248907624.67,0.0,0.0,107248907624.67,132406058795.88889
4650,2022,DE,DE,ELEC1,TOBAC,0.78,103076179113.131,1.0,1.0,103076179113.131,0.0,0.0,103076179113.131,132148947580.93716
